[FAST ABR]
Path=C:\Data\XYZ DATA\XYZ999\XYZ999-ABR-15-1000.tsv
Date=1/29/2025 11:41:48 AM
Chamber=
CFTS=3.0.0
Frequency (kHz)=1
Levels=20;25;30;35;40;45;50;55;60;65;70;75;80;
Avgs=50;50;50;50;50;50;50;50;50;50;50;50;50;
Tries=100;100;100;101;100;100;101;100;101;100;101;110;113;
ThrResult=Sigmoid
Threshold=29.22127699386
Notes=
[Params]
Stimulus.Destination=Right ear
Stimulus.Rep rate (/sec)=77
Stimulus.Alternate Polarity=FALSE
Stimulus.Duration (ms)=5
Stimulus.Ramp (ms)=0.5
Stimulus.Fs (Hz)=100000
Stimulus.Frame size (s)=1
Sequence.Freq.Start (kHz)=0.5
Sequence.Freq.Stop (kHz)=4
Sequence.Freq.Step (oct)=1
Sequence.Freq.Skip (oct)=2
Sequence.Level.Start (dB)=20
Sequence.Level.Stop (dB)=80
Sequence.Level.Step (dB)=5
Sequence.Order=Interleaved
Response.Gain=10000
Response.Averages=50
Response.Window (ms)=8.5
Response.Fs (Hz)=25000
Response.Save raw=TRUE
Reject=15
[DATA]
Time (ms)	Neural_20	Neural_25	Neural_30	Neural_35	Neural_40	Neural_45	Neural_50	Neural_55	Neural_60	Neural_65	Neural_70	Neural_75	Neural_80	CM_20	CM_25	CM_30	CM_35	CM_40	CM_45	CM_50	CM_55	CM_60	CM_65	CM_70	CM_75	CM_80  0.000000	 -0.028750	  0.006269	 -0.055128	  0.033733	 -0.083578	  0.007901	  0.055843	  0.030605	  0.062490	 -0.029736	 -0.031761	  0.085635	  0.052876	 -0.042388	  0.028118	 -0.024718	  0.048840	 -0.046051	 -0.071488	  0.079173	 -0.001880	  0.014098	 -0.008413	 -0.073541	  0.079298	 -0.041029
  0.040000	 -0.014477	 -0.034059	  0.152809	 -0.016338	 -0.004900	 -0.050574	 -0.019296	  0.050278	 -0.002526	  0.006401	  0.052817	 -0.166909	 -0.041739	  0.015727	  0.056030	 -0.052230	  0.000052	  0.076808	 -0.000813	 -0.022625	 -0.098108	 -0.049959	  0.049560	  0.027369	  0.004579	  0.026700
  0.080000	 -0.009595	 -0.024659	 -0.126213	  0.067151	  0.078983	 -0.010485	 -0.055105	 -0.039505	  0.003705	 -0.056879	  0.040758	 -0.064688	  0.055521	 -0.027450	  0.022862	  0.007027	  0.023377	  0.005889	  0.048647	  0.045582	  0.041997	  0.019542	 -0.010224	  0.071558	 -0.013124	 -0.076502
  0.120000	 -0.013223	  0.120231	 -0.011493	  0.023978	 -0.057060	 -0.085417	  0.024139	  0.022811	  0.025765	 -0.006124	  0.047392	  0.048048	  0.042996	 -0.021180	  0.042757	 -0.074668	 -0.011415	  0.060753	  0.010317	  0.007710	 -0.000134	  0.003128	 -0.060378	  0.031354	 -0.052521	  0.082022
  0.160000	  0.025642	 -0.045293	  0.013764	 -0.012277	  0.003992	  0.027218	 -0.006678	  0.059804	  0.145215	  0.077044	  0.199435	  0.380190	  0.651152	  0.018588	  0.050891	  0.027322	 -0.024036	  0.021978	  0.035599	 -0.090328	  0.026715	 -0.037702	  0.017371	  0.008493	 -0.017668	  0.019086
  0.200000	 -0.005755	  0.015472	 -0.017043	 -0.049041	  0.030165	  0.053462	  0.090119	  0.101799	  0.125590	  0.318578	  0.491558	  0.933172	  1.568765	  0.051666	  0.014449	 -0.051621	  0.116905	 -0.082446	  0.064209	  0.029226	  0.025365	 -0.016552	 -0.056287	 -0.067184	 -0.053655	  0.058946
  0.240000	 -0.024904	 -0.025936	 -0.052974	  0.037904	  0.135624	  0.123300	  0.064122	  0.162021	  0.325192	  0.658960	  1.079152	  2.020262	  3.634030	  0.002959	  0.036268	  0.000194	 -0.033795	 -0.030739	  0.036422	 -0.020701	  0.047119	 -0.056711	  0.051531	  0.022877	 -0.048985	  0.040724
  0.280000	  0.087118	  0.031942	 -0.014526	  0.021996	  0.072116	  0.068002	  0.172469	  0.358876	  0.590591	  1.127069	  1.959524	  3.646096	  6.213286	  0.057233	 -0.081652	  0.051528	 -0.047046	  0.005165	  0.020614	 -0.059347	 -0.041797	 -0.019403	  0.016178	 -0.021548	  0.008601	  0.004010
  0.320000	 -0.010325	  0.013070	  0.031403	  0.181400	  0.139702	  0.118111	  0.212064	  0.510982	  0.885885	  1.553300	  2.772658	  5.001791	  8.846032	  0.023991	  0.077726	 -0.051904	 -0.016878	  0.027492	 -0.043387	  0.006459	 -0.011653	 -0.105660	 -0.023134	 -0.031395	  0.043685	 -0.067790
  0.360000	  0.012801	 -0.013854	  0.023151	  0.081762	  0.012954	  0.156954	  0.345481	  0.661687	  1.089567	  1.879951	  3.291641	  5.952238	 10.493717	  0.005136	 -0.043153	  0.006752	  0.098042	  0.026101	  0.028806	  0.057245	 -0.058063	  0.041121	 -0.026408	 -0.121819	  0.034707	  0.030729
  0.400000	 -0.008665	 -0.062771	 -0.004647	  0.001686	  0.100979	  0.229845	  0.325014	  0.590885	  1.132584	  1.887114	  3.328992	  5.989687	 10.463537	  0.001459	  0.056193	  0.011363	  0.027933	  0.009549	  0.026582	 -0.046009	  0.065099	  0.091345	 -0.052244	 -0.041991	 -0.045056	 -0.054693
